HGNC ID	Approved symbol	Status	Previous symbols	Alias symbols	Chromosome	Accession numbers	Ensembl gene ID	Ensembl ID(supplied by Ensembl)
HGNC:5	A1BG	Approved			19q13.43		ENSG00000121410	ENSG00000121410
HGNC:37133	A1BG-AS1	Approved	NCRNA00181, A1BGAS, A1BG-AS	FLJ23569	19q13.43	BC040926	ENSG00000268895	ENSG00000268895
HGNC:24086	A1CF	Approved		ACF, ASP, ACF64, ACF65, APOBEC1CF	10q11.23	AF271790	ENSG00000148584	ENSG00000148584
HGNC:6	A1S9T	Symbol Withdrawn						
HGNC:7	A2M	Approved		FWP007, S863-7, CPAMD5	12p13.31	BX647329, X68728, M11313	ENSG00000175899	ENSG00000175899
HGNC:27057	A2M-AS1	Approved			12p13.31		ENSG00000245105	ENSG00000245105
HGNC:23336	A2ML1	Approved	CPAMD9	FLJ25179, p170	12p13.31	AK057908	ENSG00000166535	ENSG00000166535
HGNC:41022	A2ML1-AS1	Approved			12p13.31		ENSG00000256661	ENSG00000256661
HGNC:41523	A2ML1-AS2	Approved			12p13.31		ENSG00000256904	ENSG00000256904
HGNC:8	A2MP1	Approved	A2MP		12p13.31	M24415	ENSG00000256069	ENSG00000256069
HGNC:9	A2MR	Symbol Withdrawn						
HGNC:10	A2MRAP	Symbol Withdrawn						
HGNC:30005	A3GALT2	Approved	A3GALT2P	IGBS3S, IGB3S	1p35.1		ENSG00000184389	ENSG00000184389
HGNC:18149	A4GALT	Approved	P1	A14GALT, Gb3S, P(k)	22q13.2		ENSG00000128274	ENSG00000128274
HGNC:17968	A4GNT	Approved		alpha4GnT	3q22.3	AF141315	ENSG00000118017	ENSG00000118017
HGNC:1	A12M1	Entry Withdrawn						
HGNC:2	A12M2	Entry Withdrawn						
HGNC:3	A12M3	Entry Withdrawn						
HGNC:4	A12M4	Entry Withdrawn						
HGNC:11	AA	Symbol Withdrawn	AA		11p15			
HGNC:13666	AAAS	Approved			12q13.13	AJ289841	ENSG00000094914	ENSG00000094914
HGNC:12	AABT	Entry Withdrawn						
HGNC:13	AAC1	Symbol Withdrawn						
HGNC:14	AAC2	Symbol Withdrawn						
HGNC:21298	AACS	Approved		FLJ12389, SUR-5, ACSF1	12q24.31	AK022451	ENSG00000081760	ENSG00000081760
HGNC:18226	AACSP1	Approved	AACSL		5q35.3		ENSG00000250420	
HGNC:13792	AACT	Symbol Withdrawn						
HGNC:17	AADAC	Approved		DAC, CES5A1	3q25.1	L32179	ENSG00000114771	ENSG00000114771
HGNC:24427	AADACL2	Approved		MGC72001	3q25.1	BC065724	ENSG00000197953	ENSG00000197953
HGNC:50301	AADACL2-AS1	Approved			3q25.1		ENSG00000242908	ENSG00000242908
HGNC:32037	AADACL3	Approved		OTTHUMG00000001887	1p36.21		ENSG00000188984	ENSG00000188984
HGNC:32038	AADACL4	Approved		OTTHUMG00000001889	1p36.21		ENSG00000204518	ENSG00000204518
HGNC:50305	AADACP1	Approved			3q25.1		ENSG00000240602	ENSG00000240602
HGNC:17929	AADAT	Approved		KATII, KAT2, KYAT2	4q33	AF097994	ENSG00000109576	ENSG00000109576
HGNC:25662	AAGAB	Approved		FLJ11506, p34	15q23	AL136715	ENSG00000103591	ENSG00000103591
HGNC:19679	AAK1	Approved		KIAA1048, DKFZp686K16132	2p13.3	AB028971	ENSG00000115977	ENSG00000115977
HGNC:30205	AAMDC	Approved	C11orf67	PTD015, FLJ21035, CK067	11q14.1	BC016854	ENSG00000087884	ENSG00000087884
HGNC:18	AAMP	Approved			2q35	AB209790	ENSG00000127837	ENSG00000127837
HGNC:19	AANAT	Approved		SNAT	17q25.1	U40347	ENSG00000129673	ENSG00000129673
HGNC:15886	AAR2	Approved	C20orf4	bA234K24.2	20q11.23		ENSG00000131043	ENSG00000131043
